,KEGG,PUBCHEM,HMDB,Blank_6 h,Ca_6 h,Ca_6 h,Ca_6 h,Ca_6 h,Ca_6 h,Lr_6 h,Lr_6 h,Lr_6 h,Lr_6 h,Lr_6 h,EC_6 h,EC_6 h,EC_6 h,EC_6 h,EC_6 h,Ca_EC_6 h,Ca_EC_6 h,Ca_EC_6 h,Ca_EC_6 h,Ca_EC_6 h,Lr_EC_6 h,Lr_EC_6 h,Lr_EC_6 h,Lr_EC_6 h,Lr_EC_6 h,Ca_LR_EC_6 h,Ca_LR_EC_6 h,Ca_LR_EC_6 h,Ca_LR_EC_6 h,Ca_LR_EC_6 h,Blank_12 h,Ca_12 h,Ca_12 h,Ca_12 h,Ca_12 h,Ca_12 h,Lr_12 h,Lr_12 h,Lr_12 h,Lr_12 h,Lr_12 h,EC_12 h,EC_12 h,EC_12 h,EC_12 h,EC_12 h,Ca_EC_12 h,Ca_EC_12 h,Ca_EC_12 h,Ca_EC_12 h,Ca_EC_12 h,Lr_EC_12 h,Lr_EC_12 h,Lr_EC_12 h,Lr_EC_12 h,Lr_EC_12 h,Ca_LR_EC_12 h,Ca_LR_EC_12 h,Ca_LR_EC_12 h,Ca_LR_EC_12 h,Ca_LR_EC_12 h
(N(1) + N(8))-acetylspermidine,,,,,,,,,,,,88586,,,,,,,262288,,292569,385499,,324863,715787,558628,1535747,1159523,430227,447942,727576,1912580,1187092,412310,,,,,,,,,,,,,405696,483243,384791,311999,,478447,747318,568110,607244,2411881,1502874,2638367,2071717,577225,1714038,1676310,3167577,2275243,730272
1-carboxyethylisoleucine,,,,,,,,,,230786,125997,189614,203833,46694,148443,194362,229358,199136,240467,158474,233365,267570,212723,254878,392897,338224,442235,325360,345519,351635,328187,485354,395105,313573,,,,,,,252474,161727,179427,272578,56619,218474,285412,308771,301786,377304,,394754,393957,398312,437290,483848,453042,486675,474900,359314,463127,436690,504418,447614,454540
1-carboxyethylleucine,,,,,,,,,,144158,76367,113560,121014,26226,96190,124166,147457,134268,166810,108661,171854,168748,144248,173143,273977,247183,230654,228135,222098,226665,230774,293812,246454,236298,,,,,,,149096,99310,119701,156797,31021,138513,209329,238101,225195,261938,,245617,265598,288867,273688,318442,314965,297435,346358,259715,271776,271590,330553,293994,290400
1-carboxyethylphenylalanine,,,,,,,,,,65956,70315,74642,73856,,125268,146920,189714,165909,184897,130011,203443,206222,202456,163432,229929,234691,254361,199750,215002,201193,219566,297239,267216,238850,,,,,,,65058,80316,89088,83157,23568,160927,225092,247450,314202,283259,,272227,296966,376644,276580,350446,279218,303236,383437,229656,249355,246909,365743,279668,248437
1-carboxyethyltyrosine,,,,,,,,,,55689,44060,59450,57543,,27300,39645,55504,39791,35639,,52766,52021,48141,45473,218635,202453,210610,165139,151545,175067,192687,266701,226599,126601,,,,,,,71182,57718,59444,67569,31059,34135,47183,56184,76235,86280,,64099,71902,103339,57735,278666,215256,254583,281954,153443,204893,206564,239896,220718,185124
1-carboxyethylvaline,,,,,,,,,,41809,,25039,29137,,41579,67683,74052,68644,73886,44661,90017,94619,84101,84718,102340,106011,129688,90061,110643,95257,115275,151906,131239,131714,,,,,,,,,,32511,,50255,99029,103464,123895,149474,,145337,146730,171066,202521,161265,158845,174397,191582,147727,149494,150232,177745,139636,144612
1-methylnicotinamide,C02918,10129985,HMDB00699,,,,,,,,,,,,4065957,3653853,4328318,3962300,3341735,4231658,3985025,3228520,4915999,2975425,3170621,2460688,1871037,2500338,2268414,2456034,2299065,3120193,3056070,2588605,,,,,,,,,,,,4893271,4415735,4648894,6836199,4925591,,4210247,4837659,5787682,3407652,3100322,2613500,2691778,3955014,2533228,3014831,2547805,2976887,2999677,1724140
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),,5287971,HMDB07973,125654,,,,,,,,,157902,,74326,442456,217247,793522,,,223204,,606648,,197791,121681,166178,124747,115831,151228,87338,341654,396679,,,,,,882054,,,248363,,144585,,,146934,189036,475898,299707,,163577,88923,507220,,357397,116296,134731,320196,185845,178176,1366575,,208907,
1-palmitoyl-2-oleoyl-GPC (16:0/18:1),,6436017,HMDB07972,,,,,,,,,,145451,,647526,917303,1197494,1041144,796302,509754,931194,920074,1318696,187424,949349,787936,943501,750124,727559,734661,714811,1485779,1079923,987878,,,,,523967,,,97414,,69706,,615628,875575,1358350,1944780,1114315,,707176,734406,2154774,249866,1410178,858946,1090100,1575528,1094270,994399,1414445,882158,1008257,424739
1-ribosyl-imidazoleacetate*,C05131,5117448,HMDB02331,,,,,,,,,,,,404551,403697,214813,265320,315643,245199,382439,178146,301067,196398,131400,258685,127156,153523,159478,173116,203003,,137035,,,,,,,,,,,,,393424,421166,246321,345340,256901,,425781,240491,313985,243596,,226897,,152650,145970,263531,258714,,155290,221139
1-stearoyl-2-oleoyl-GPC (18:0/18:1),,,HMDB08038,,,,,,,,,,,,311181,347786,578977,389880,296168,79791,326765,484671,810054,,589413,267068,527925,458542,362900,418903,335591,990389,711781,616062,,,,,,,,,,,,336191,393647,712905,1223678,726381,,263415,445426,1483885,127281,1093419,414787,585224,1088643,680342,562164,481129,317282,321847,
2'-deoxyadenosine,C00559,13730,HMDB00101,,266454,504509,,351597,293823,3190504,3324754,3922096,5356551,1037978,,,,,,,,,,,,,,,,,,,101122,,,3218216,3577126,2872253,3426540,3279903,3876225,3145874,4260463,6342251,1151920,,,108826,,,3215263,,,,,,,,,,,,,,
2'-deoxycytidine,C00881,13711,HMDB00014,,,,,,,,,341025,,,640021,470378,510586,738445,404506,403443,437613,628807,729270,462001,1126928,785160,1119298,835600,370198,911593,592991,1091652,903538,508353,,,,,,,,264048,274357,,,524656,454337,710146,749841,454100,,347333,526365,1169088,449503,1198481,527302,1258265,1141104,754552,1265763,569790,1206083,899047,535237
2'-deoxyinosine,C05512,65058,HMDB00071,,,,,,,58608,56917,86211,,,,,,,,,26283,,,,309023,103932,67942,187482,213924,297934,121094,205531,205117,,,,,,,,,68242,88768,,,,,,,,,,,28328,,53044,72321,81840,186300,222305,96674,87791,137547,170420,95049
2'-deoxyuridine,C00526,13712,HMDB00012,,,,,,,,621868,877034,255520,,6757958,4461153,8126025,6264130,8367106,5442809,6571435,7347389,7517488,7498931,6344892,7915648,9911586,7625181,4940452,4905490,6531415,4564042,6669961,5982674,,213131,305538,168916,202437,299260,77899,556705,754556,250723,,8055265,6448149,8302977,9964936,10374283,275789,6663836,7596732,11344347,9892349,13343071,10638181,14723778,13838959,2263857,10854754,5982865,14543622,12380226,6215508
2'-O-methylcytidine,,150971,,,,,,,,,,,,,699012,857931,577923,819409,1014312,536247,1062635,799166,764185,773967,723439,641755,720960,679749,743198,488455,744640,809579,735470,951788,,,,,,,,,,,,1066151,1073671,834941,822261,1346239,,1204073,982814,1091074,1239193,,674371,977766,960003,890496,956219,850304,812606,699148,1125272
2'-O-methyluridine,,102212,,,,,,,,,,,,,,42090,,53290,,,47471,,58804,,,43734,,43382,,,40757,,,,,,,,,,,,,,,,63040,,67218,,,64502,,87264,55641,,59122,,55641,,,40662,,59261,
"2,3-dihydroxyisovalerate",C04039,677,HMDB12141,,1727066,1711850,1692986,1700755,1708524,,,,,,,,,,,706357,645811,1004394,487657,538273,,,,,,,,,,494464,,11106595,8054276,11611331,7638103,10944548,,,,,,,,,,,11007077,3641349,4684124,4304648,4816506,,30152,,,,673360,559201,686851,636067,1217657
2-hydroxy-3-methylvalerate,,164623,HMDB00317,,,,,,,397405,698869,570687,435613,187652,164675,185880,224009,249407,214994,197402,240651,230301,231295,234264,48222736,47074052,45567912,48466068,21034656,42469876,46472288,43436580,50681368,21554292,,,,,,,642189,659173,547393,388857,250367,220387,314359,298972,305608,351422,,326864,369771,361383,330473,50299616,58800568,50381744,58729392,28694902,52330052,53910176,49834532,55598928,34136536
2-hydroxy-4-(methylthio)butanoic acid,,,,,196060,79431,241626,208529,102385,3521371,2242506,4362636,1715563,1345182,187827,,277066,120528,217791,287852,227893,429648,300257,242726,91658032,54742768,90158480,58912388,27468740,81990272,57335232,71901344,58754236,31472466,,1556503,959038,1813440,1094710,1501949,4085732,2509724,4715274,2019631,1811981,341352,121311,290815,264565,364578,1619145,678802,1186352,1026807,1020669,103847352,57549708,98052848,62682048,45470364,91831248,53462972,105955848,58304920,52042660
2-hydroxybutyrate/2-hydroxyisobutyrate,,,,,,254102,,,,,,,,,,,,,1037270,,642163,633335,375046,,407151,1106486,1816040,795029,,1070774,766680,820571,1135586,1412173,,,,,,,,,,,,612272,231148,,845255,,,507260,,791553,,762535,711006,482257,793127,1466544,923620,1340608,647258,984483,711182
2-hydroxyglutarate,C02630,43,HMDB0059655,,,249565,,225500,224394,1722040,1340659,1541026,1343730,900513,754410,856341,862207,957563,879317,934137,1110855,1100754,1091577,634001,21312468,28187464,26646856,35712076,10923899,20534970,27133850,24214014,25303658,16784660,,3477022,3833342,4351931,4862664,4395689,2255181,1366943,1307716,1459689,1144563,855349,1217827,982434,939018,1039072,4461063,3907070,2634109,4376632,2274536,21499152,30630156,24674520,27441960,18329912,25170048,28274184,24653724,27853984,20647232
2-oxoarginine*,C03771,558,HMDB04225,60470348,61080276,61262368,64319824,62958792,60678004,61278392,79834832,66922520,76804232,64179480,37823496,43086396,52496164,45777968,35892336,33364136,41432384,37906468,52309392,33149072,71221048,68812432,82722768,92568296,46452516,70118088,71429552,72616688,76033760,69922800,67791896,57297876,76539168,78093544,82672624,74857928,69799360,77455056,68044936,85755760,66994844,39448896,43032936,44130660,51133760,32847898,71209480,42542376,37537372,39976176,29681152,71623320,71206912,64240596,80267568,84635016,77066664,53512912,53977760,58784976,46338132
